FANGJIA_ADDRESS,FANGJIA_NAME,FANGJIA_URL,FANGJIA_PRICE
兆景路139号,双楠尚品广场,http://cd.fang.lianjia.com/loupan/p_snspgcycabgmx/, 30000
东升镇银河路8号（双流县图书馆旁）,隆鑫十里画卷,http://cd.fang.lianjia.com/loupan/p_lxslhjabglt/, 35000
花都大道与凤凰北大街交界处（光华新城地铁4号线凤凰大道站）,蓝润光华春天,http://cd.fang.lianjia.com/loupan/p_lrghctabjvd/, 36000
跳蹬河槐树店路26号（成洛大道与中环路交汇处）,鲁能城二期,http://cd.fang.lianjia.com/loupan/p_lnceqabnao/, 50000
光华东一路75号,荣盛花语城,http://cd.fang.lianjia.com/loupan/p_rshycabdmg/, 20000
东客站西广场300米（成华区锦绣大道）,蓝润东悦荟,http://cd.fang.lianjia.com/loupan/p_lrdyhabolo/, 40000
北大资源颐和雅郡,北大资源颐和雅郡,http://cd.fang.lianjia.com/loupan/p_bdzyyhyjabouj/, 45
崔家店路418号,成华奥园广场一期,http://cd.fang.lianjia.com/loupan/p_chaygcyqabivj/, 45000
玉沿路与N17县道交叉口南100米,外滩新天地,http://cd.fang.lianjia.com/loupan/p_wtxtdaaeta/, 11000
蓉都大道南四段,华都九龙广场,http://cd.fang.lianjia.com/loupan/p_hdjlgcaaxak/, 9500
国宁东路与犀安路交汇处,万科理想城,http://cd.fang.lianjia.com/loupan/p_wklxcaauqd/, 11500
天府新城南（成雅高速邓双出口下行500米）,亚特兰蒂斯黄金时代,http://cd.fang.lianjia.com/loupan/p_ytldshjsdaaegi/, 430
顺江路335号（望江公园和川大旁）,阿玛尼艺术公寓,http://cd.fang.lianjia.com/loupan/p_amnysgyaaptu/, 300
草金路（永康森林公园旁、江安河畔）,蜀镇,http://cd.fang.lianjia.com/loupan/p_szabehu/, 12000
东二环汇源南路366号（成师附小旁 ）,通用时代国际社区,http://cd.fang.lianjia.com/loupan/p_tysdabdmw/, 50000
剑南大道南延线黄龙大道四段(黄龙古镇旁),黄龙溪谷,http://cd.fang.lianjia.com/loupan/p_hlxgaataf/, 1300
天府大道南段海昌南路99号,新鸿基悦城,http://cd.fang.lianjia.com/loupan/p_xhjycaavie/, 16000
锦江区东大路318号,环球汇广场天誉,http://cd.fang.lianjia.com/loupan/p_hqhgctyabxil/, 20000
光华大道三段清泉北街,千禧河畔B区,http://cd.fang.lianjia.com/loupan/p_qxhpabcan/, 210
犀浦镇银河西街99号（地铁2号线天河路站D出口）,合能橙中心,http://cd.fang.lianjia.com/loupan/p_hnczxabcgk/, 27000
益州大道中段699号（天府一街与天府二街之间）,香悦城,http://cd.fang.lianjia.com/loupan/p_ljxycaayxr/, 22000
南熏大道二段875号（南熏大道和柳林路交汇处）,积家御景,http://cd.fang.lianjia.com/loupan/p_jjyjabdgi/, 26000
东御街88号,星汇广场,http://cd.fang.lianjia.com/loupan/p_xhgcaatig/, 24000
西三环蜀鑫路与清波路交汇处（华润金悦湾对面）,海亮樾金沙,http://cd.fang.lianjia.com/loupan/p_hlyjsaatfd/, 32000
府青路二段177号,中铁二局玛塞城,http://cd.fang.lianjia.com/loupan/p_ztejmscabdpd/, 26000
桃源新城人和街99号（新政府旁，新体院馆对面）,力扬时代,http://cd.fang.lianjia.com/loupan/p_lysdaabiz/, 5300
新都绕城与育英路交汇处（中国成都五龙山公园旁）,润扬观澜鹭岛,http://cd.fang.lianjia.com/loupan/p_ryglldaaeed/, 10000
交子大道998号,润富国际花园,http://cd.fang.lianjia.com/loupan/p_rfgjhyaavcg/, 24000
胜利镇燕杨路2号（维也纳森林别墅旁）,瑞升橄榄山,http://cd.fang.lianjia.com/loupan/p_rsglsaaegz/, 12000
天府大道南段2859号,和贵南山上,http://cd.fang.lianjia.com/loupan/p_hgnssaaliu/, 750
西货站路207号,融创观玺台花园,http://cd.fang.lianjia.com/loupan/p_rcgxtaayly/, 4850
华阳街道府河路与南湖路交汇处,北京街,http://cd.fang.lianjia.com/loupan/p_cdbjjaaufe/, 14000
东大街锦东路（牛市口派出所旁）,九龙仓擎天半岛,http://cd.fang.lianjia.com/loupan/p_jlcqtbdaaccv/, 30000
高新区天府三街855号（大源中央公园旁）,锦城南府猫先生,http://cd.fang.lianjia.com/loupan/p_jcnfaaywr/, 18500
龙泉驿天鹅西湖南路6号（成龙大道和天鹅西湖南路交汇处）,世茂城三期,http://cd.fang.lianjia.com/loupan/p_smcaaiap/, 9800
双成五路66号,观城,http://cd.fang.lianjia.com/loupan/p_gcaaypo/, 16000
市政府旁东坡大道与阜成路交汇处西北侧,旺达广场·旺达铭苑,http://cd.fang.lianjia.com/loupan/p_wdgcdmyabxhq/, 8000
成华大道龙潭e线旁,蓝润v客尚东,http://cd.fang.lianjia.com/loupan/p_lrvksdabxio/, 22000
万福一路西（成灌快铁犀浦东站旁）,天璟荟,http://cd.fang.lianjia.com/loupan/p_tjhabhpo/, 35000
武兴路和金江路交汇处,新希望锦悦楠庭,http://cd.fang.lianjia.com/loupan/p_xxwjyntaceys/, 48000
天府路88号,润扬双铁广场,http://cd.fang.lianjia.com/loupan/p_rystgcabfdm/, 75000
武兴路和金江路交汇处,新希望锦悦楠庭,http://cd.fang.lianjia.com/loupan/p_xxwjyntabaip/, 12000
龙泉驿区西河镇成洛大道(西南食品城旁),招商依云上城,http://cd.fang.lianjia.com/loupan/p_zsyyscabfbv/, 25000
郫花路299号（郫花路与关柏路交汇处）,花样年龙年中心,http://cd.fang.lianjia.com/loupan/p_hynlngjzxabfde/, 23000
南湖西侧（剑南大道旁边）,中信城右岸,http://cd.fang.lianjia.com/loupan/p_zhyaabfaf/, 40000
万科路东段荣盛紫提东郡,荣盛紫提东郡,http://cd.fang.lianjia.com/loupan/p_rsztdjabfab/, 27000
跳蹬河南路18号,成华奥园广场二期,http://cd.fang.lianjia.com/loupan/p_chaygceqabnai/, 45000
阳光城幸福大道,林溪康城,http://cd.fang.lianjia.com/loupan/p_lxkcabbkw/, 32000
锦江区玫瑰街7号,绿地468云玺四期,http://cd.fang.lianjia.com/loupan/p_ldxsqabeoj/, 43000
光华大道三段清泉北街江安路,佳年华新生活,http://cd.fang.lianjia.com/loupan/p_jnhxshaatjr/, 35000
花桥龚巷村一组,花桥雅苑,http://cd.fang.lianjia.com/loupan/p_zwhqyyabemc/, 17000
天府路中段,龙城半岛,http://cd.fang.lianjia.com/loupan/p_undefinedabgja/, 40000
上南街10号,我的大学,http://cd.fang.lianjia.com/loupan/p_wddxabgir/, 20000
二环路东三段双庆路6号,华润二十四城七期,http://cd.fang.lianjia.com/loupan/p_hresscqqabgix/, 60000
柳台大道88号,中铁丽景书香,http://cd.fang.lianjia.com/loupan/p_ztljsxabfjv/, 23000
高店路东段1001号,宇众曼城,http://cd.fang.lianjia.com/loupan/p_yzmcabffq/, 15000
昭觉寺横路80号,台州商人大厦,http://cd.fang.lianjia.com/loupan/p_tzsrdsabblt/, 38000
昭觉寺横路80号,台州商人大厦,http://cd.fang.lianjia.com/loupan/p_tzsrdsabclr/, 14000
红光镇广场路北三段,同森锦熙,http://cd.fang.lianjia.com/loupan/p_tsjxabnep/, 35000
仁寿文林镇富强街126号,上城南苑,http://cd.fang.lianjia.com/loupan/p_scnyabdjo/, 8520
龙泉驿区鲸龙路960号（新龙中对面）,绿林书院,http://cd.fang.lianjia.com/loupan/p_llsyabjqp/, 13000
2.5环内昭觉寺横路（中国电信旁）,泛悦城市广场,http://cd.fang.lianjia.com/loupan/p_fycsgcaatkh/, 60000
益州大道中段699号（天府一街与天府二街之间）,香悦城,http://cd.fang.lianjia.com/loupan/p_xyhabghp/, 65000
牧华路口（剑南大道与牧华路交汇处）,鑫苑鑫都汇,http://cd.fang.lianjia.com/loupan/p_xyxdhabgho/, 30000
海科路99号（成都师范学院旁）,明信仕林府,http://cd.fang.lianjia.com/loupan/p_mxcslfabflj/, 20000
新都北大门川陕路（蓉都大道润扬双河鹭岛旁）,三佳悦都,http://cd.fang.lianjia.com/loupan/p_sjydabfme/, 8250
樱花路999号,绿地468公馆二期,http://cd.fang.lianjia.com/loupan/p_ldgeqaayiq/, 30000
峨眉山路369号,佳年华广场二期,http://cd.fang.lianjia.com/loupan/p_jnhgceqabruw/, 20000
华阳街道二江寺村一组,北辰南湖香麓,http://cd.fang.lianjia.com/loupan/p_bcnhxlabkmy/, 10000
成都市金牛区育仁西路18号,龙湖西宸原著御景,http://cd.fang.lianjia.com/loupan/p_lhxcyzeqabkhl/, 17000
光华北六路1号,绿地新里城,http://cd.fang.lianjia.com/loupan/p_ldxlcabotu/, 40000
2.5环内昭觉寺横路（中国电信旁）,泛悦城市广场,http://cd.fang.lianjia.com/loupan/p_fycsgcabncd/, 14500
新都北星大道大成路南段（家乐福旁）,北新上锦,http://cd.fang.lianjia.com/loupan/p_bxsjabncm/, 25000
南三环娇子立交外侧,首创娇子1号,http://cd.fang.lianjia.com/loupan/p_scjzabtwk/, 40000
锦绣大道355号,锦江国际花园,http://cd.fang.lianjia.com/loupan/p_jjgjhyabtwm/, 40000
牧华路三段1789号,海伦春天,http://cd.fang.lianjia.com/loupan/p_hlctabdvn/, 50000
暂无,檀香山公园里,http://cd.fang.lianjia.com/loupan/p_txsgylabfkw/, 60000
通源街588号,乐天圣苑,http://cd.fang.lianjia.com/loupan/p_undefinedacjzi/, 50000
天府一街与益州大道交界处,中洲锦城湖岸,http://cd.fang.lianjia.com/loupan/p_zzjchaabmxx/, 50000
东二环与琉璃路交汇处,中港CCPARK,http://cd.fang.lianjia.com/loupan/p_zgcabmyk/, 19000
蓉都大道南四段,华都九龙广场,http://cd.fang.lianjia.com/loupan/p_hdjlgcaclgl/, 9500
光华大道三段清泉北街,千禧河畔D区,http://cd.fang.lianjia.com/loupan/p_qxhpdqabksc/, 190
西华街道侯家桥路288号（西华大道与侯家桥路交汇处）,中粮祥云里,http://cd.fang.lianjia.com/loupan/p_zlxylabmtt/, 35000
成都高新南区新成仁路与新川大道交汇处（新川之心中央公园旁）,融创香璟台二期,http://cd.fang.lianjia.com/loupan/p_rcxjteqabrxm/, 45000
学院路东段189号,一品雅居,http://cd.fang.lianjia.com/loupan/p_ypyjabqna/, 27800
上沙河铺街66号（地铁2号线塔子山公园站旁）,COSMO天廊,http://cd.fang.lianjia.com/loupan/p_ctlabovr/, 23000
红光镇幸福路北一段（思源学校对面）,公园1号,http://cd.fang.lianjia.com/loupan/p_gyabdwp/, 25000
南三环路南五段188号（蓝天立交桥旁边）,美洲花园棕榈湾,http://cd.fang.lianjia.com/loupan/p_mzhyzlwaakst/, 19500
成都市成华区建设南路50号,中南融创玖华台邸,http://cd.fang.lianjia.com/loupan/p_rcjhtabrzo/, 17500
川陕立交旁荆翠西路,金科中心,http://cd.fang.lianjia.com/loupan/p_jkzxaasxs/, 12500
三官堂街与龙舟路交汇处,望江名门,http://cd.fang.lianjia.com/loupan/p_jcypdsaaupy/, 45000
培华路399号,金阳易诚国际,http://cd.fang.lianjia.com/loupan/p_jyycgjabqkx/, 16000
一环路北四段108号（一环以内）,银海中心,http://cd.fang.lianjia.com/loupan/p_yhzxabchf/, 19000
三星镇学府大道279号,星岛星时区,http://cd.fang.lianjia.com/loupan/p_xdxsqabmfj/, 11000
安德镇政府路1号（安德政府对面）,杜鹃城,http://cd.fang.lianjia.com/loupan/p_djcaaljo/, 5100
剑南大道与天府四街交汇处,时代晶座,http://cd.fang.lianjia.com/loupan/p_sdjzabhoq/, 100
峨眉山路369号,佳年华广场二期,http://cd.fang.lianjia.com/loupan/p_jnhgceqabqnw/, 16000
东大路下沙河铺街和大凉山路交界处（塔子山公园旁）,恒大望江华府,http://cd.fang.lianjia.com/loupan/p_hdwjhfaazop/, 26000
成华区锦绣大道段大渡河路交汇处,荣盛香榭兰庭一期,http://cd.fang.lianjia.com/loupan/p_rsxxltyqabire/, 11000
天府南华路与天府三街交汇处（高新青年公寓对面）,一品CG,http://cd.fang.lianjia.com/loupan/p_ypcaatfc/, 300
红光镇港华路555号,上置绿洲雅宾利花园,http://cd.fang.lianjia.com/loupan/p_szlzyblhyabils/, 15000
天府大道与天府一街交汇处（地铁1号线世纪城北行500米）,IMC国际广场,http://cd.fang.lianjia.com/loupan/p_imcgjgcaatfb/, 20000
铁军路588号（外江大桥与玉府路交叉口）,成都万达城,http://cd.fang.lianjia.com/loupan/p_wdcaayoe/, 7500
斑竹园镇南华路和竹韵大道交汇处,明都汇,http://cd.fang.lianjia.com/loupan/p_mdhaawwc/, 12000
天府三街1599号（天府三街与南华路交汇处）,大源欢乐颂,http://cd.fang.lianjia.com/loupan/p_dyhlsaayxm/, 80
芝芝路888号,美好庄园,http://cd.fang.lianjia.com/loupan/p_mhzyaazbu/, 15000
华阳街道府河路与南湖路交汇处,北京街,http://cd.fang.lianjia.com/loupan/p_cdbjjabcnf/, 45000
阳光城幸福大道333号,华府幸福城,http://cd.fang.lianjia.com/loupan/p_hfxfcabcwz/, 32000
同安镇阳光城阳光大道138号,中粮御嶺湾,http://cd.fang.lianjia.com/loupan/p_zlywaafga/, 1125
光华大道三段清泉北街,千禧河畔D区,http://cd.fang.lianjia.com/loupan/p_qxhpdqacjsy/, 42000
峨眉山路369号,佳年华广场一期,http://cd.fang.lianjia.com/loupan/p_jnhgcabbkr/, 25000
五块石玉居庵东路116号（红旗连锁旁）,中铁瑞景汇中心,http://cd.fang.lianjia.com/loupan/p_ztrjhzxabbhk/, 50000
金科北路地铁2号线站口20米（交警六分局旁）,东原亲亲里,http://cd.fang.lianjia.com/loupan/p_dyqqlabbja/, 32000
国宁东路666号(成都外国语学校旁),鼎犀名城,http://cd.fang.lianjia.com/loupan/p_dxmcabbjq/, 28000
金泉街道高家社区2组（金科路小学旁）,华宇西城雅郡,http://cd.fang.lianjia.com/loupan/p_hyxcyjabbju/, 42000
金河路与西安路交汇处（凤翔湖旁）,北大资源公园1898,http://cd.fang.lianjia.com/loupan/p_bdzygyabgkz/, 36000
光华大道三段临温泉大道路口（4号线西部新城西站）,星光华印象,http://cd.fang.lianjia.com/loupan/p_xghyxabgjz/, 18000
犀浦镇金粮路与全兴路交汇处,锦巷兰台,http://cd.fang.lianjia.com/loupan/p_jxltabmbb/, 35000
槐树店一路300号,鲁能公馆,http://cd.fang.lianjia.com/loupan/p_lncabgjc/, 50000
光华大道东4路78号（万家湾公交站旁边）,东原时光道,http://cd.fang.lianjia.com/loupan/p_dysgdabbij/, 40000
麓山大道二段（新元素奥迪旗舰店旁）,中德麓府,http://cd.fang.lianjia.com/loupan/p_zdlfabgki/, 21000
公兴镇藕塘村5组,德商华府天骄,http://cd.fang.lianjia.com/loupan/p_dshftjabdxl/, 210
共和路与林泉南街交汇处,金科天宸,http://cd.fang.lianjia.com/loupan/p_jktcabgkl/, 30000
二仙桥北路3号(二仙桥北路与二仙桥北二路交叉路口西南50米处）,交大归谷建设派,http://cd.fang.lianjia.com/loupan/p_jdggjspabbkk/, 50000
黑龙滩风景区与省道106线交汇处,黑龙滩国际社区,http://cd.fang.lianjia.com/loupan/p_hltgjsqabdrs/, 12000
郫县郫筒镇杜鹃路政府旁,重百汉正广场,http://cd.fang.lianjia.com/loupan/p_cbhzgcabfea/, 30000
永丰路7号（衣冠庙地铁口B出口）,和雅嘉御,http://cd.fang.lianjia.com/loupan/p_hzzxabdwj/, 23000
万科路东段荣盛紫提东郡,荣盛紫提东郡,http://cd.fang.lianjia.com/loupan/p_rsztdjabfat/, 30000
永兴路1118号（永兴路与柳林路交叉口）,光华瑞廷,http://cd.fang.lianjia.com/loupan/p_ghrtabgko/, 40000
望丛东路478号,蜀都万达广场,http://cd.fang.lianjia.com/loupan/p_sdwdgcabfld/, 38000
日月大道与武青北路交汇处,成都青羊万达广场,http://cd.fang.lianjia.com/loupan/p_cdqywdgcabgmi/, 50000
杉板桥南五路199号（蓝光东方天地旁）,华都云景台,http://cd.fang.lianjia.com/loupan/p_hdyjtabdio/, 50000
红光镇红光广场路四段216号（技师学院旁）,宇众悦城,http://cd.fang.lianjia.com/loupan/p_yzycabbjz/, 22000
金河路与西安路交汇处（凤翔湖旁）,北大资源公园1898,http://cd.fang.lianjia.com/loupan/p_bdzygyabbhj/, 30000
长青路88号,金美国际,http://cd.fang.lianjia.com/loupan/p_jmgjabbld/, 36000
双流东升镇一杆旗北路29号,满座,http://cd.fang.lianjia.com/loupan/p_mzabfro/, 31000
峨眉山市绥山镇佛光南路,山水峨眉,http://cd.fang.lianjia.com/loupan/p_ssemabexp/, 200
东升镇航都大道与商都路交汇处(陶家院子旁),北大资源燕楠国际,http://cd.fang.lianjia.com/loupan/p_bdzyyngjabbhx/, 29000
驿都西路3666号,炜岸城二期,http://cd.fang.lianjia.com/loupan/p_waceqabfli/, 700
福锦路一段669号,中筑西府兰庭,http://cd.fang.lianjia.com/loupan/p_zzxfltabesh/, 20000
温泉大道177号（新城西站附近）,洲际春天广场,http://cd.fang.lianjia.com/loupan/p_zjctgcabcec/, 30000
东丽街与东紫路交汇处（动物园东大门）,青龙广场,http://cd.fang.lianjia.com/loupan/p_qlgcabcel/, 30000
新都蜀龙大道三河场段（保利公园198旁）,莱茵北郡三期,http://cd.fang.lianjia.com/loupan/p_lybjsqabgik/, 20000
金科南路（地铁2号线金科北路A出口500米）,保利国宾首府,http://cd.fang.lianjia.com/loupan/p_blgbsfabfqy/, 30000
光华大道同兴东路,佳兆业丽晶公馆,http://cd.fang.lianjia.com/loupan/p_jzyljggabflq/, 26000
大观镇高尔夫大街369号,御青城,http://cd.fang.lianjia.com/loupan/p_qcyabgry/, 17000
福锦路一段669号,中筑西府兰庭,http://cd.fang.lianjia.com/loupan/p_zzxfltabbin/, 42000
驿都大道北海亮彩悦府,海亮彩悦府,http://cd.fang.lianjia.com/loupan/p_hlcyfabbiw/, 40000
蜀都新城 创智公园南四路100号（创智公园正对面）,海骏达蜀都1号三期,http://cd.fang.lianjia.com/loupan/p_hjdsdsqabgjj/, 40000
